OBJECTID,ID,signal_ID,personal_ID,Date,year_month,site,plot,day,position,component,management,season,net_flux,gross_emission,gross_uptake,CO2_flux,ST,WFPS,BD,NH4,NO3,mineral_N,MIN_CO2,MBN,MBC,nirK,nirS,nosZI,nosZII
204,0,W_AF_r1_24m,W_AF_r1_24m,2019-04-26T00:00:00,2019_4,W,W p4,386,d_24m,b_crop_row,W_agro,a_spring,-0.0247,0,0.0215,0.435,10.1,45.8,1.3,0.2016,5.2057,5.4072,12.4303448275862,,,149315471.07,34054476.29,105990281.1,19996695.95
205,0,W_AF_r2_T,W_AF_r2_T,2019-04-26T00:00:00,2019_4,W,W p5,386,a_tree,a_tree_row,W_agro,a_spring,-0.0284,0.1187,0.1086,1.2217,9.3,58.6,1.1,2.5736,0.1262,2.6998,2.20987149054596,,,263523711.87,52545752.85,174777887.3,14476757.93
206,0,W_AF_r2_1m,W_AF_r2_1m,2019-04-26T00:00:00,2019_4,W,W p6,386,b_1m,b_crop_row,W_agro,a_spring,-0.0313,0.2247,0.1708,0.8842,9.4,44.6,1.3,1.8259,0.1935,2.0194,2.2838724270527,,,1023845840.91,37788568.88,180728368.96,67552980.13
207,0,W_AF_r2_7m,W_AF_r2_7m,2019-04-26T00:00:00,2019_4,W,W p7,386,c_7m,b_crop_row,W_agro,a_spring,-0.0238,0.0478,0.0582,0.3976,10.4,42.4,1.3,0.7683,6.6773,7.4456,18.7263581488934,,,105046709.88,23773695.62,109874340.41,14400252.55
208,0,W_AF_r2_24m,W_AF_r2_24m,2019-04-26T00:00:00,2019_4,W,W p8,386,d_24m,b_crop_row,W_agro,a_spring,-0.0305,0.1327,0.1321,0.5949,9.6,48.1,1.2,0.9577,3.2678,4.2256,7.10304252815599,,,163363188.07,27834717.84,138636880.36,18273011.17
209,0,W_AF_r3_T,W_AF_r3_T,2019-04-26T00:00:00,2019_4,W,W p9,386,a_tree,a_tree_row,W_agro,a_spring,-0.0312,0.0801,0.0844,0.6069,9.4,56.2,1.1,1.763,1.2691,3.0321,4.99604547701434,,,560421938.78,59595546.32,141319541.01,32234085.2
210,0,W_AF_r3_1m,W_AF_r3_1m,2019-04-26T00:00:00,2019_4,W,W p10,386,b_1m,b_crop_row,W_agro,a_spring,-0.0282,0.0684,0.0707,0.2408,9.6,53.4,1.2,0.2437,5.2474,5.4911,22.8035714285714,,,417296882.12,53710925.89,128095766.38,49538674.32
211,0,W_AF_r3_7m,W_AF_r3_7m,2019-04-26T00:00:00,2019_4,W,W p11,386,c_7m,b_crop_row,W_agro,a_spring,-0.0143,0.0588,0.0007,0.182,12.8,43.1,1,0.1844,4.8604,5.0448,27.7186813186813,,,78657007.2,26310589.38,75868588.8,27552288.94
212,0,W_AF_r3_24m,W_AF_r3_24m,2019-04-26T00:00:00,2019_4,W,W p12,386,d_24m,b_crop_row,W_agro,a_spring,-0.0326,0.2116,0.1821,0.2148,13.6,49.1,1.2,0.2017,3.3324,3.5341,16.4529795158287,,,160082726.91,39716181.46,104286966.31,19580653.39
213,0,W_AF_r4_T,W_AF_r4_T,2019-04-26T00:00:00,2019_4,W,W p13,386,a_tree,a_tree_row,W_agro,a_spring,-0.0094,0.0557,0.0393,0.7337,13.1,59.3,1.1,1.5201,0.2748,1.7949,2.44636772522829,,,270188047.63,32822054.36,82423264.72,16195661.28
214,0,W_AF_r4_1m,W_AF_r4_1m,2019-04-26T00:00:00,2019_4,W,W p14,386,b_1m,b_crop_row,W_agro,a_spring,-0.0454,0.0212,0.0438,0.1991,12.9,46.2,1.3,0.3306,1.1997,1.5303,7.68608739326971,,,342327772.93,39787169.43,149878317.71,20785004.98
215,0,W_AF_r4_7m,W_AF_r4_7m,2019-04-26T00:00:00,2019_4,W,W p15,386,c_7m,b_crop_row,W_agro,a_spring,-0.0408,0.1258,0.1307,0.1977,13.8,46.1,1.2,0.1925,4.2404,4.4329,22.4223571067274,,,263584194.63,29447197.3,127077164.98,40804315.68
216,0,W_AF_r4_24m,W_AF_r4_24m,2019-04-26T00:00:00,2019_4,W,W p16,386,d_24m,b_crop_row,W_agro,a_spring,-0.0107,0.048,0.0257,0.1436,11.8,45.8,1,0.1583,3.8347,3.993,27.8064066852368,,,249409324.73,58905763.45,196782327.48,36301730.53
217,0,W_C_r1,W_C_r1,2019-04-26T00:00:00,2019_4,W,W p17,386,e_C,c_mono,W_c_mono,a_spring,-0.0319,0.0367,0.0259,0.3276,11.8,33.5,1,0.1463,4.5675,4.7139,14.3891941391941,,,468402659.92,63041787.93,232514462.04,28592780.26
218,0,W_C_r2,W_C_r2,2019-04-26T00:00:00,2019_4,W,W p18,386,e_C,c_mono,W_c_mono,a_spring,-0.0089,0.0517,0.0399,0.2046,11,30.6,1,0.3197,4.4956,4.8153,23.5351906158358,,,472368840.16,21815949.83,173062229.86,8730316.02
219,0,W_C_r3,W_C_r3,2019-04-26T00:00:00,2019_4,W,W p19,386,e_C,c_mono,W_c_mono,a_spring,-0.0282,0.0659,0.0608,0.2755,10.4,32.9,1.1,0.2287,3.5109,3.7396,13.5738656987296,,,260025464.84,42068266.67,172822091.82,34420403.07
220,0,W_C_r4,W_C_r4,2019-04-26T00:00:00,2019_4,W,W p20,386,e_C,c_mono,W_c_mono,a_spring,-0.034,0.0153,0.0279,0.2018,10.4,32.2,1,0.1379,3.7683,3.9062,19.3567888999009,,,148821496.05,24340077.6,77847892.56,25549929.89
221,0,W_AF_r1_T,W_AF_r1_T,2019-05-09T00:00:00,2019_5,W,W p1,400,a_tree,a_tree_row,W_agro,a_spring,-0.0091,0.1209,0.0991,0.8,13.9,61.7,1,2.7917,2.8318,5.6235,7.029375,131.1,198.002845742169,787609059.24,174168643.69,226892469.4,101855737.06
222,0,W_AF_r1_1m,W_AF_r1_1m,2019-05-09T00:00:00,2019_5,W,W p2,400,b_1m,b_crop_row,W_agro,a_spring,0.0609,0.0695,0.0068,0.5,14.1,37.4,0.8,31.7694,9.8926,41.662,83.324,81.5,548.591540168717,265405864.61,64581716.34,177524377.17,157483227.32
223,0,W_AF_r1_7m,W_AF_r1_7m,2019-05-09T00:00:00,2019_5,W,W p3,400,c_7m,b_crop_row,W_agro,a_spring,0.3106,0.4135,0.043,0.7,14.1,48.7,1,34.6993,13.3266,48.026,68.6085714285714,30.1,429.997262425265,186191195.5,61071486.9,115066559.87,80051596.66
224,0,W_AF_r1_24m,W_AF_r1_24m,2019-05-09T00:00:00,2019_5,W,W p4,400,d_24m,b_crop_row,W_agro,a_spring,0.1186,0.2915,0.118,0.5,14.1,33.7,0.9,23.0387,11.7276,34.7664,69.5328,83.1,223.584949366293,296717578.39,48386031.5,141119966.26,46772395.38
225,0,W_AF_r2_T,W_AF_r2_T,2019-05-09T00:00:00,2019_5,W,W p5,400,a_tree,a_tree_row,W_agro,a_spring,-0.0206,0.164,0.1275,1,14,58.7,1,4.6073,1.5186,6.1259,6.1259,123.7,249.667574770523,693650627.45,72536708,238187509.78,58683127.83
226,0,W_AF_r2_1m,W_AF_r2_1m,2019-05-09T00:00:00,2019_5,W,W p6,400,b_1m,b_crop_row,W_agro,a_spring,0.0099,0.1045,0.0146,0.9,14,35.3,0.9,27.2196,3.2928,30.5124,33.9026666666667,110.9,558.751016528194,176131804.84,42954074.65,156711224.72,33984289.98
227,0,W_AF_r2_7m,W_AF_r2_7m,2019-05-09T00:00:00,2019_5,W,W p7,400,c_7m,b_crop_row,W_agro,a_spring,0.0584,0.0786,0.0158,0.4,13.9,44.1,0.9,26.4464,10.5688,37.0153,92.53825,105.1,651.831957957516,129472827.05,28732468.22,67108047.9,66280855.94
228,0,W_AF_r2_24m,W_AF_r2_24m,2019-05-09T00:00:00,2019_5,W,W p8,400,d_24m,b_crop_row,W_agro,a_spring,0.0862,0.2055,0.0775,0.5,14,37.1,0.8,23.1541,17.1543,40.3084,80.6168,78.1,119.792914402105,21397482.86,2894385.47,6994506.9,8557661.76
229,0,W_AF_r3_T,W_AF_r3_T,2019-05-09T00:00:00,2019_5,W,W p9,400,a_tree,a_tree_row,W_agro,a_spring,-0.0289,0.0659,0.0644,0.6,14,54.1,1.1,1.8249,1.9325,3.7574,6.26233333333333,109.2,471.908640946476,606193029.12,51941580.87,142776316.95,45175842.88
230,0,W_AF_r3_1m,W_AF_r3_1m,2019-05-09T00:00:00,2019_5,W,W p10,400,b_1m,b_crop_row,W_agro,a_spring,0.0978,0.1738,0.002,0.7,14.3,37.3,1,21.2279,13.2194,34.4472,49.2102857142857,23.4,513.15736942816,212423200.1,60704627.71,166608125.04,55487647.71
231,0,W_AF_r3_7m,W_AF_r3_7m,2019-05-09T00:00:00,2019_5,W,W p11,400,c_7m,b_crop_row,W_agro,a_spring,1.592,1.583,0,1.4,17.7,38.8,0.9,63.8334,16.7467,80.5801,57.5572142857143,,280.368789939038,255829675.75,43368636.84,144354823.45,134816888.86
232,0,W_AF_r3_24m,W_AF_r3_24m,2019-05-09T00:00:00,2019_5,W,W p12,400,d_24m,b_crop_row,W_agro,a_spring,0.7148,1.1769,0.249,1,17.3,33.4,1,21.6325,20.7033,42.3358,42.3358,76.9,173.916179639866,202132825.95,34619573.87,126356230.58,121904722.2
233,0,W_AF_r4_T,W_AF_r4_T,2019-05-09T00:00:00,2019_5,W,W p13,400,a_tree,a_tree_row,W_agro,a_spring,0.0314,0.0873,0.0302,1.5,17.9,52.7,1.2,0.7552,1.211,1.9662,1.3108,81.3,308.116008694493,168934319.8,10665283.36,59145043.78,14726765.58
234,0,W_AF_r4_1m,W_AF_r4_1m,2019-05-09T00:00:00,2019_5,W,W p14,400,b_1m,b_crop_row,W_agro,a_spring,0.3278,0.4584,0.0764,1.1,17.6,33.3,1.1,41.8484,4.8986,46.747,42.4972727272727,325.7,425.760577068766,273863376.99,41933825.14,140642007.13,49140781.88
235,0,W_AF_r4_7m,W_AF_r4_7m,2019-05-09T00:00:00,2019_5,W,W p15,400,c_7m,b_crop_row,W_agro,a_spring,0.992,1.4926,0.2409,0.7,17.7,40,1.2,33.9866,13.4365,47.4231,67.7472857142857,20.2,349.427546325069,164800445.79,28557595.86,88668157.85,31301266.33
236,0,W_AF_r4_24m,W_AF_r4_24m,2019-05-09T00:00:00,2019_5,W,W p16,400,d_24m,b_crop_row,W_agro,a_spring,1.0575,1.5581,0.2206,0.8,17.8,29.7,1.1,34.0691,20.9399,55.009,68.76125,181.3,205.361738870456,254770881.73,43394215.02,176998224.72,51011894
237,0,W_C_r1,W_C_r1,2019-05-09T00:00:00,2019_5,W,W p17,400,e_C,c_mono,W_c_mono,a_spring,1.3619,1.6993,0.1309,0.7,17.6,34.9,1,49.598,14.7168,64.3149,91.8784285714286,,280.808713413787,270104306.84,36700898.59,206581730.6,52312231.25
238,0,W_C_r2,W_C_r2,2019-05-09T00:00:00,2019_5,W,W p18,400,e_C,c_mono,W_c_mono,a_spring,0.6115,0.8859,0.1435,0.6,17.5,31.9,0.9,36.3212,17.0869,53.4081,89.0135,211.3,307.843726896545,320663561.24,46453281.5,207277445.97,95916050.82
239,0,W_C_r3,W_C_r3,2019-05-09T00:00:00,2019_5,W,W p19,400,e_C,c_mono,W_c_mono,a_spring,0.6935,0.9756,0.1387,0.5,17.4,35.9,1.1,18.5637,15.7395,34.3033,68.6066,12.5,309.543621228841,226638306.84,48306578.68,255510806.85,36981435.46
240,0,W_C_r4,W_C_r4,2019-05-09T00:00:00,2019_5,W,W p20,400,e_C,c_mono,W_c_mono,a_spring,1.4921,2.0988,0.2256,0.8,17.3,36.4,1,22.9861,18.6139,41.6,52,86.7,291.197379056628,274499554.81,26562202.25,268590124.84,63346974.57
241,0,W_AF_r1_T,W_AF_r1_T,2019-06-04T00:00:00,2019_6,W,W p1,426,a_tree,a_tree_row,W_agro,a_spring,-0.0366,0.2883,0.2259,1.3754,20.8,61.58,0.97,3.4483,1.1294,4.5777,3.3282681401774,,,322711510.54,57162193.4,99901239.54,24236284.34
242,0,W_AF_r1_1m,W_AF_r1_1m,2019-06-04T00:00:00,2019_6,W,W p2,426,b_1m,b_crop_row,W_agro,a_spring,0.6104,1.1483,0.3367,0.9514,20.8,45.52,0.96,18.9782,27.7115,46.6897,49.0747319739332,,,635333735.46,75915510.8,100760714.21,69623157.01
243,0,W_AF_r1_7m,W_AF_r1_7m,2019-06-04T00:00:00,2019_6,W,W p3,426,c_7m,b_crop_row,W_agro,a_spring,1.1493,1.4347,0.1422,0.6762,20.9,39.89,0.71,44.6302,81.7156,126.3458,186.846790890269,,,122033582.41,50229179.25,89600214.58,30067591.68
244,0,W_AF_r1_24m,W_AF_r1_24m,2019-06-04T00:00:00,2019_6,W,W p4,426,d_24m,b_crop_row,W_agro,a_spring,0.6015,0.8454,0.1261,0.5434,20.7,50.04,1.13,58.2485,50.1125,108.361,199.412955465587,,,414626279.56,30478009.59,92150137.38,40578646.5
245,0,W_AF_r2_T,W_AF_r2_T,2019-06-04T00:00:00,2019_6,W,W p5,426,a_tree,a_tree_row,W_agro,a_spring,-0.0036,0.0906,0.026,1.1856,20.8,50.56,1.06,4.2739,0.4972,4.7711,4.02420715249663,,,1021260601.73,107351155.36,303652257.53,78406991.06
246,0,W_AF_r2_1m,W_AF_r2_1m,2019-06-04T00:00:00,2019_6,W,W p6,426,b_1m,b_crop_row,W_agro,a_spring,0.7089,0.784,0.0398,1.2431,20.7,51.64,0.96,9.7114,13.1054,22.8168,18.3547582656263,,,281387604.55,27627506.76,92725352.4,48481283.43
247,0,W_AF_r2_7m,W_AF_r2_7m,2019-06-04T00:00:00,2019_6,W,W p7,426,c_7m,b_crop_row,W_agro,a_spring,1.2051,1.4138,0.0915,0.5978,21,42.11,0.89,37.0367,63.9367,100.9734,168.908330545333,,,359819718.61,35651037.84,139570590.86,69605038.21
248,0,W_AF_r2_24m,W_AF_r2_24m,2019-06-04T00:00:00,2019_6,W,W p8,426,d_24m,b_crop_row,W_agro,a_spring,1.2934,1.6434,0.1423,0.5562,21.4,51.91,1.04,52.5243,89.1908,141.7151,254.791621718806,,,131891828.9,29762434.15,94739123.77,15577822.8
249,0,W_AF_r3_T,W_AF_r3_T,2019-06-04T00:00:00,2019_6,W,W p9,426,a_tree,a_tree_row,W_agro,a_spring,-0.0089,0.0224,0.0255,1.1686,21.7,53.15,1.08,3.0253,0.3691,3.3944,2.90467225740202,,,2050449726.08,108621355.1,251608473.61,209837607.9
250,0,W_AF_r3_1m,W_AF_r3_1m,2019-06-04T00:00:00,2019_6,W,W p10,426,b_1m,b_crop_row,W_agro,a_spring,0.3094,0.4631,0.0875,0.9634,22.2,49.37,0.95,12.4252,37.3623,49.7875,51.6789495536641,,,140924284.29,51657315.79,180725224.87,122965022.78
251,0,W_AF_r3_7m,W_AF_r3_7m,2019-06-04T00:00:00,2019_6,W,W p11,426,c_7m,b_crop_row,W_agro,a_spring,1.3805,1.6734,0.0014,0.7663,24.8,41.16,1.06,47.6683,87.5606,135.2289,176.469920396712,,,293125220.15,31348776.19,120253120.23,155909843.68
252,0,W_AF_r3_24m,W_AF_r3_24m,2019-06-04T00:00:00,2019_6,W,W p12,426,d_24m,b_crop_row,W_agro,a_spring,3.0822,3.4695,0,0.7947,25.1,50.5,0.98,57.372,75.9966,133.3686,167.822574556436,,,206426021.08,38210380.96,155995212.92,37398585.39
253,0,W_AF_r4_T,W_AF_r4_T,2019-06-04T00:00:00,2019_6,W,W p13,426,a_tree,a_tree_row,W_agro,a_spring,-0.0368,0.2041,0.1817,1.2435,25,48.12,1.12,1.59,0.457,2.0471,1.64624045034178,,,786234877.3,98440929.94,271649875.81,78530113.69
254,0,W_AF_r4_1m,W_AF_r4_1m,2019-06-04T00:00:00,2019_6,W,W p14,426,b_1m,b_crop_row,W_agro,a_spring,1.5724,2.2378,0.0229,1.6575,24.8,43.91,1.12,23.3567,18.1485,41.5051,25.0407843137255,,,390704465.86,35373958.35,105886830.96,127248588.97
255,0,W_AF_r4_7m,W_AF_r4_7m,2019-06-04T00:00:00,2019_6,W,W p15,426,c_7m,b_crop_row,W_agro,a_spring,,,,0.6797,25,38.37,1.07,24.4815,54.4707,78.9522,116.157422392232,,,60013776.87,18127709.76,74975559.56,119065541.29
256,0,W_AF_r4_24m,W_AF_r4_24m,2019-06-04T00:00:00,2019_6,W,W p16,426,d_24m,b_crop_row,W_agro,a_spring,2.2791,2.3419,0.0101,0.5953,25,45.76,1.06,62.0567,110.2266,172.2833,289.405845792038,,,348309415.34,37007740.54,163026720.84,290310862.23
257,0,W_C_r1,W_C_r1,2019-06-04T00:00:00,2019_6,W,W p17,426,e_C,c_mono,W_c_mono,a_spring,1.1347,1.3007,0.0587,0.6166,25.1,37.79,0.95,42.4142,52.8637,95.278,154.521569899449,,,485533082.95,29837371.99,209632559.8,79208254.34
258,0,W_C_r2,W_C_r2,2019-06-04T00:00:00,2019_6,W,W p18,426,e_C,c_mono,W_c_mono,a_spring,1.8869,2.4559,0.0731,0.6553,25.4,35.24,0.97,76.0517,77.3741,153.4258,234.130627193652,,,551112818.02,29381110.33,154052677.84,115404139.72
259,0,W_C_r3,W_C_r3,2019-06-04T00:00:00,2019_6,W,W p19,426,e_C,c_mono,W_c_mono,a_spring,2.4817,2.5473,0.0017,0.551,24.9,39.54,0.93,78.1885,93.0049,171.1934,310.695825771325,,,37895931.37,3467714.76,29777185.4,16796020.73
260,0,W_C_r4,W_C_r4,2019-06-04T00:00:00,2019_6,W,W p20,426,e_C,c_mono,W_c_mono,a_spring,1.7497,2.2329,0.1642,0.6078,25.3,36.15,0.82,41.8461,123.5608,165.4069,272.140342217835,,,207121673.68,34877839.06,177471488.58,69917582.98
261,0,W_AF_r1_T,W_AF_r1_T,2019-07-15T00:00:00,2019_7,W,W p1,467,a_tree,a_tree_row,W_agro,b_summer,-0.0144,0.0425,0.0318,0.3706,16.4,39.98,0.97,0.6995,2.5358,3.2352,8.72962763086886,114.8,456.569816197174,1315513780.81,93490628.99,373280313.43,106009695.99
262,0,W_AF_r1_1m,W_AF_r1_1m,2019-07-15T00:00:00,2019_7,W,W p2,467,b_1m,b_crop_row,W_agro,b_summer,-0.0145,0.2145,0.1828,0.1778,16.3,30.2,1.02,1.0951,58.317,59.4121,334.151293588301,164.8,369.272465796835,368560083.74,94617469.3,309059803.73,132508069.27
263,0,W_AF_r1_7m,W_AF_r1_7m,2019-07-15T00:00:00,2019_7,W,W p3,467,c_7m,b_crop_row,W_agro,b_summer,0.0043,0.0204,0.0097,0.1273,16.6,35.02,1.02,9.0078,114.421,123.4288,969.589945011783,79.2,323.217910035016,266626445.81,44057900.91,271955507.83,54640475.96
264,0,W_AF_r1_24m,W_AF_r1_24m,2019-07-15T00:00:00,2019_7,W,W p4,467,d_24m,b_crop_row,W_agro,b_summer,-0.0118,0.1347,0.1056,0.1967,16.4,42.35,0.99,2.0015,95.1586,97.1601,493.950686324352,111.1,336.141241346199,567359756,60641255.41,254499886.06,103029126.11
265,0,W_AF_r2_T,W_AF_r2_T,2019-07-15T00:00:00,2019_7,W,W p5,467,a_tree,a_tree_row,W_agro,b_summer,-0.0333,0.0895,0.0961,0.2486,16.6,36.79,1.31,2.0151,0.4264,2.4415,9.82099758648431,125,527.386313642896,835382220.58,48603940.1,402267212.23,93360130.66
266,0,W_AF_r2_1m,W_AF_r2_1m,2019-07-15T00:00:00,2019_7,W,W p6,467,b_1m,b_crop_row,W_agro,b_summer,-0.0331,0.2072,0.1794,0.1617,16.5,34.23,1.13,1.2498,60.4903,61.74,381.818181818182,109.2,283.554439090106,368209307.4,32192601.17,151074382.53,57433874.61
267,0,W_AF_r2_7m,W_AF_r2_7m,2019-07-15T00:00:00,2019_7,W,W p7,467,c_7m,b_crop_row,W_agro,b_summer,0.0228,0.4333,0.3074,0.1365,16.5,26.97,1.23,1.0652,39.4691,40.5342,296.953846153846,149.2,319.302060235209,340999386.04,32509787.14,146760728.48,49240755.02
268,0,W_AF_r2_24m,W_AF_r2_24m,2019-07-15T00:00:00,2019_7,W,W p8,467,d_24m,b_crop_row,W_agro,b_summer,0.0081,0.1507,0.0964,0.1662,16.7,36.82,1,0.8455,99.5437,100.3892,604.026474127557,45.3,377.846077357719,738332000.92,29783073.14,186135674.1,49747675.35
269,0,W_AF_r3_T,W_AF_r3_T,2019-07-15T00:00:00,2019_7,W,W p9,467,a_tree,a_tree_row,W_agro,b_summer,-0.0463,0.0365,0.0507,0.3964,16.5,36.45,0.97,1.0512,1.6985,2.7498,6.93693239152371,105.4,498.911720261505,255985953.85,95191219.31,378080512.56,138724622.55
270,0,W_AF_r3_1m,W_AF_r3_1m,2019-07-15T00:00:00,2019_7,W,W p10,467,b_1m,b_crop_row,W_agro,b_summer,-0.0078,0.0912,0.0701,0.1919,16.4,35.77,1.27,10.2492,61.983,72.2322,376.405419489317,50.4,292.944512168837,489492351.68,59479904.64,206766678.92,120454342.09
271,0,W_AF_r3_7m,W_AF_r3_7m,2019-07-15T00:00:00,2019_7,W,W p11,467,c_7m,b_crop_row,W_agro,b_summer,0.0631,0.2164,0.0973,0.1882,17.7,27.63,1.01,21.4638,130.7757,152.2396,808.924548352816,163.8,288.058925146466,269029473.98,63399220.16,239842160.62,172532375.92
272,0,W_AF_r3_24m,W_AF_r3_24m,2019-07-15T00:00:00,2019_7,W,W p12,467,d_24m,b_crop_row,W_agro,b_summer,-0.0219,0.0578,0.0472,0.1903,17.8,37.65,1.05,6.1794,162.3631,168.5425,885.667367314766,,289.3642709849,361906406.39,42323797.82,232427748.98,142407184.24
273,0,W_AF_r4_T,W_AF_r4_T,2019-07-15T00:00:00,2019_7,W,W p13,467,a_tree,a_tree_row,W_agro,b_summer,-0.0404,0,0.0233,0.4338,17.8,32.82,1.44,1.4003,0.3408,1.7411,4.01360073766713,69.5,787.964389420057,1755402140.03,199288277.04,728284782.93,334446772.78
274,0,W_AF_r4_1m,W_AF_r4_1m,2019-07-15T00:00:00,2019_7,W,W p14,467,b_1m,b_crop_row,W_agro,b_summer,0.0098,0.2973,0.2101,0.2538,17.6,30.47,1.01,1.8437,38.8453,40.689,160.31914893617,488,314.376606154229,243494631.19,37363186.26,227148767.26,152295067.51
275,0,W_AF_r4_7m,W_AF_r4_7m,2019-07-15T00:00:00,2019_7,W,W p15,467,c_7m,b_crop_row,W_agro,b_summer,-0.015,0.2483,0.1888,0.1851,17.6,30.99,1.11,6.3428,115.1414,121.4841,656.316045380875,65.7,263.786032005455,541296983.1,41167855.18,236043409.57,116394635.88
276,0,W_AF_r4_24m,W_AF_r4_24m,2019-07-15T00:00:00,2019_7,W,W p16,467,d_24m,b_crop_row,W_agro,b_summer,-0.0254,0.0334,0.0326,0.209,17.7,28.35,1.22,1.2949,91.0307,92.3256,441.749282296651,178.7,298.859588520423,365089619.6,12534223.74,175982889.34,90218990.64
277,0,W_C_r1,W_C_r1,2019-07-15T00:00:00,2019_7,W,W p17,467,e_C,c_mono,W_c_mono,b_summer,-0.045,0.0681,0.0865,0.1522,18,22.6,1.02,3.7621,115.0191,118.7812,780.42838370565,206.6,301.458488842567,323508936.55,46199514.8,298489720.98,52572213.07
278,0,W_C_r2,W_C_r2,2019-07-15T00:00:00,2019_7,W,W p18,467,e_C,c_mono,W_c_mono,b_summer,0.0097,0.2472,0.1729,0.1223,17.9,23,1.25,23.7175,127.3889,151.1064,1235.53883892069,199.8,287.856899526037,214076469.78,41899290.88,213207748.68,70320066.19
279,0,W_C_r3,W_C_r3,2019-07-15T00:00:00,2019_7,W,W p19,467,e_C,c_mono,W_c_mono,b_summer,-0.0004,0.1872,0.1405,0.1723,17.8,24.43,1.19,4.5874,49.1516,53.739,311.892048752176,59.3,315.896447150582,630092649.54,30417555.94,301448831.04,108478559.46
280,0,W_C_r4,W_C_r4,2019-07-15T00:00:00,2019_7,W,W p20,467,e_C,c_mono,W_c_mono,b_summer,-0.0023,0.0324,0.0191,0.1406,17.9,24.77,1.15,7.9146,124.4511,132.3657,941.434566145093,,281.798400972654,199071899.54,25272816.64,264807124.86,87927008.25
281,0,W_AF_r1_T,W_AF_r1_T,2019-08-12T00:00:00,2019_8,W,W p1,495,a_tree,a_tree_row,W_agro,b_summer,-0.0205,0.1352,0.125,0.6318,21.3,32.22,0.9,1.3868,3.3598,4.7465,7.51266223488446,,,299029356.05,85605023.94,115287415.59,107325482.3
282,0,W_AF_r1_1m,W_AF_r1_1m,2019-08-12T00:00:00,2019_8,W,W p2,495,b_1m,b_crop_row,W_agro,b_summer,-0.0074,0.1236,0.0977,0.2482,21.3,34.02,0.99,0.4502,69.271,69.7212,280.907332796132,,,229340866.11,42137500.19,204459911.13,48661172.67
283,0,W_AF_r1_7m,W_AF_r1_7m,2019-08-12T00:00:00,2019_8,W,W p3,495,c_7m,b_crop_row,W_agro,b_summer,-0.028,0.0033,0.0105,0.2143,21.5,43.27,1.1,6.215,102.5708,108.7858,507.633224451703,,,181476593.27,12699690.65,70205226.76,61794144.38
284,0,W_AF_r1_24m,W_AF_r1_24m,2019-08-12T00:00:00,2019_8,W,W p4,495,d_24m,b_crop_row,W_agro,b_summer,-0.0328,0.0503,0.065,0.3701,21.7,37.42,1.16,0.4201,33.5447,33.9648,91.771953526074,,,158073321.67,28643475.4,102306359.38,53407952.01
285,0,W_AF_r2_T,W_AF_r2_T,2019-08-12T00:00:00,2019_8,W,W p5,495,a_tree,a_tree_row,W_agro,b_summer,-0.0249,0.1636,0.1326,0.6991,21.6,34.47,1.15,2.6507,0.6117,3.2624,4.66657130596481,,,336169231.26,45000739.83,189786036.43,29949336.93
286,0,W_AF_r2_1m,W_AF_r2_1m,2019-08-12T00:00:00,2019_8,W,W p6,495,b_1m,b_crop_row,W_agro,b_summer,-0.0303,0,0.0141,0.3722,21.6,34.3,1.13,1.3624,8.1652,9.5276,25.5980655561526,,,72520905.23,24947201.46,88202657,19245430.96
287,0,W_AF_r2_7m,W_AF_r2_7m,2019-08-12T00:00:00,2019_8,W,W p7,495,c_7m,b_crop_row,W_agro,b_summer,-0.0405,0.142,0.0913,0.5853,21.6,24.37,0.96,1.5282,140.892,142.4202,243.328549461814,,,69790443.03,28755793.94,93532841.42,18315464.64
288,0,W_AF_r2_24m,W_AF_r2_24m,2019-08-12T00:00:00,2019_8,W,W p8,495,d_24m,b_crop_row,W_agro,b_summer,-0.0323,0.0037,0.0276,0.4402,21.9,34.47,1.08,1.1516,64.6644,65.816,149.513857337574,,,126811462.79,18196486.49,80422107.71,37143408.67
289,0,W_AF_r3_T,W_AF_r3_T,2019-08-12T00:00:00,2019_8,W,W p9,495,a_tree,a_tree_row,W_agro,b_summer,-0.0309,0.0965,0.0955,0.4516,21.9,30.93,1,2.1633,2.2717,4.435,9.82063773250664,,,877633667.13,102069707.38,179302930.94,53980815.67
290,0,W_AF_r3_1m,W_AF_r3_1m,2019-08-12T00:00:00,2019_8,W,W p10,495,b_1m,b_crop_row,W_agro,b_summer,-0.029,0.0826,0.0753,0.2303,21.9,32.92,1.08,1.9404,60.9711,62.9115,273.171949630916,,,175901301.32,35199604.81,121580342.2,79404900.96
291,0,W_AF_r3_7m,W_AF_r3_7m,2019-08-12T00:00:00,2019_8,W,W p11,495,c_7m,b_crop_row,W_agro,b_summer,0.0079,0.1357,0.0718,0.369,24.6,31.03,1.11,0.724,65.4167,66.1407,179.243089430894,,,94512255.3,45267906.72,132342863.9,126933217.15
292,0,W_AF_r3_24m,W_AF_r3_24m,2019-08-12T00:00:00,2019_8,W,W p12,495,d_24m,b_crop_row,W_agro,b_summer,-0.025,0.0582,0.0664,0.3055,24.1,30.84,1.11,1.9393,89.6983,91.6376,299.959410801964,,,206878959.79,24391655.74,102162988.88,56438177.24
