pid,top,bot,sand,bd,pH,soc
CM_16043_153,0,7,39,1.22,6.2,63
CM_16043_153,7,32,41,1.29,5.3,7
CM_16043_153,32,112,27,1.38,5.1,4
CM_16043_153,112,150,42,NA,5.4,3
CM_16043_153,150,180,43,NA,5.5,NA
CM_16043_165,0,5,73,NA,4,38
CM_16043_165,5,9,75,NA,4.7,24
CM_16043_165,9,27,67,NA,4.3,7
CM_16043_165,27,51,69,NA,4.6,4
CM_16043_165,51,66,85,NA,4.7,5
CM_16043_165,66,100,39,NA,3.1,5
CM_16043_166,0,4,35,1.22,4.9,72
CM_16043_166,4,10,38,1.22,3.4,24
CM_16043_166,10,23,34,1.22,3.6,16
CM_16043_166,23,60,32,1.37,3.6,10
CM_16043_166,60,100,30,1.4,4,7
CM_16043_166,100,200,29,NA,4,6
CM_16043_167,0,6,46,1.22,4.1,79
CM_16043_167,6,15,52,1.22,4,27
CM_16043_167,15,28,44,1.29,4.2,13
CM_16043_167,28,118,39,1.38,4,9
CM_16043_167,118,200,37,NA,4,9
CM_16043_181,0,3,49,1.22,4.6,66
CM_16043_181,3,15,54,1.22,4.5,13
CM_16043_181,15,30,45,1.29,3.9,6
CM_16043_181,30,71,44,1.38,4.3,6
CM_16043_181,71,145,39,1.4,4.8,1
CM_16043_181,145,175,34,NA,4.7,2
CM_16043_182,0,2,82,1.22,4.5,13
CM_16043_182,2,12,57,1.22,4.7,9
CM_16043_182,12,32,48,1.29,4.5,8
CM_16043_182,32,100,33,1.38,4.2,6
CM_16043_182,100,130,28,NA,4.7,2
CM_16043_182,130,170,27,NA,4.6,4
CM_16043_183,0,3,58,NA,4.9,45
CM_16043_183,3,15,96,NA,5.1,9
CM_16043_183,15,47,84,NA,4.6,39
CM_16043_183,47,70,60,NA,5.4,5
CM_16043_184,0,3,47,NA,5,67
CM_16043_184,3,13,69,NA,5.2,6
CM_16043_184,13,43,70,NA,5.3,2.5
CM_16043_184,43,66,NA,NA,4.7,4
CM_16043_20,0,4,42,NA,5.3,37
CM_16043_20,4,16,95,NA,5.7,3
CM_16043_20,16,60,93,NA,5.6,1
CM_16043_201,0,5,51,1.22,3.8,66
CM_16043_201,5,18,43,1.22,3.7,15
CM_16043_201,18,61,34,1.37,4.1,5
CM_16043_201,61,95,52,1.4,4.2,8
CM_16043_201,95,152,33,NA,4,7
CM_16043_201,152,185,40,NA,2.9,5
CM_16043_202,0,9,73,1.22,4,50
CM_16043_202,9,20,60,1.22,4.2,13
CM_16043_202,20,57,48,1.37,4.2,8
CM_16043_202,57,160,44,1.41,4.5,6
CM_16043_202,160,200,39,NA,4.9,3
CM_16043_203,0,4,87,NA,5.8,10
CM_16043_203,4,15,69,NA,4.6,10
CM_16043_203,15,43,69,NA,4.8,4
CM_16043_203,43,68,NA,NA,NA,3
CM_16043_204,0,6,61,1.22,4,57
CM_16043_204,6,16,54,1.22,4,11
CM_16043_204,16,47,42,1.37,4.6,5
CM_16043_204,47,150,39,1.4,4.7,4
CM_16043_204,150,200,37,NA,4.3,3
CM_16043_21,0,10,14,1.03,4.1,55
CM_16043_21,10,25,14,1.03,4.3,31
CM_16043_21,25,57,12,1.21,4.8,15
CM_16043_21,57,160,12,1.26,4.9,7
CM_16043_21,160,230,12,NA,5,6
CM_16043_213,0,4,79,1.22,5.8,35
CM_16043_213,4,17,48,1.22,4.5,11
CM_16043_213,17,73,40,1.37,4,7
CM_16043_213,73,114,45,1.4,4.5,5
CM_16043_213,114,145,39,NA,4.6,7
CM_16043_214,0,6,42,1.03,3.6,68
CM_16043_214,6,17,41,1.03,3.5,23
CM_16043_214,17,59,36,1.21,3.7,11
CM_16043_214,59,63,NA,NA,NA,NA
CM_16043_215,0,7,56,1.03,3.8,49
CM_16043_215,7,22,43,1.03,3.8,14
CM_16043_215,22,98,36,1.23,3.9,4
CM_16043_215,98,200,35,NA,4,4
CM_16043_216,0,6,53,1.22,4,77
CM_16043_216,6,20,49,1.22,3.9,17
CM_16043_216,20,45,40,1.37,3.9,11
CM_16043_216,45,120,39,1.4,4,7
CM_16043_216,120,200,41,NA,4.7,4
CM_16043_217,0,4,70,1.3,5.6,45
CM_16043_217,4,16,80,1.3,6.4,5
CM_16043_217,16,36,72,1.55,5,3
CM_16043_217,36,100,55,1.59,4.8,4
CM_16043_217,100,160,39,NA,4.8,3
CM_16043_218,0,3,85,1.3,4.9,29
CM_16043_218,3,21,71,1.3,4.6,4
CM_16043_218,21,80,54,1.59,4.7,2
CM_16043_218,80,118,48,1.63,4.7,1
CM_16043_218,118,130,47,NA,4.4,1
CM_16043_219,0,3,70,1.3,5.7,26
CM_16043_219,3,14,64,1.3,5.4,7
CM_16043_219,14,79,38,1.59,5.2,5
CM_16043_219,79,89,NA,1.63,NA,NA
CM_16043_22,0,6,24,1.03,4.5,42
CM_16043_22,6,29,15,1.03,4.5,17
CM_16043_22,29,60,13,1.21,4.4,10
CM_16043_22,60,100,13,1.26,4.7,9
CM_16043_22,100,170,13,NA,4.7,8
CM_16043_23,0,8,73,1.3,5.8,25
CM_16043_23,8,17,70,1.3,5.7,6
CM_16043_23,17,39,54,1.55,5.2,6
CM_16043_23,39,62,46,1.55,5.3,6
CM_16043_23,62,115,49,1.63,5.4,3
CM_16043_23,115,150,49,NA,5.5,2
CM_16043_24,0,6,68,1.3,5.7,17
CM_16043_24,6,17,82,1.3,5.8,8
CM_16043_24,17,62,62,1.55,5.3,6
CM_16043_24,62,140,54,1.63,5.1,4
CM_16043_24,140,165,51,NA,5.4,3
CM_16043_253,0,5,27,1.03,3.5,94
CM_16043_253,5,15,33,1.03,3.8,26
CM_16043_253,15,55,27,1.21,4.2,8
CM_16043_253,55,120,28,1.26,4,2
CM_16043_253,120,185,31,NA,3.9,4
CM_16043_254,0,7,63,1.03,4.2,38
CM_16043_254,7,44,51,1.12,3.6,12
CM_16043_254,44,132,54,1.24,3.5,7
CM_16043_254,132,210,36,NA,4,6
CM_16043_255,0,7,40,1.03,4.7,24
CM_16043_255,7,18,53,1.03,4.1,9
CM_16043_255,18,40,44,1.21,3.7,6
CM_16043_255,40,70,41,1.23,3.5,3
CM_16043_255,70,125,37,1.26,3.7,2
CM_16043_256,0,2,24,1.03,3.4,100
CM_16043_256,2,9,36,1.03,3.6,33
CM_16043_256,9,32,27,1.12,4,11
CM_16043_256,32,118,26,1.23,3.8,7
CM_16043_256,118,200,27,NA,3.8,5
CM_16043_70,0,4,18,1.03,4.4,89
CM_16043_70,4,11,23,1.03,4,57
CM_16043_70,11,26,23,1.12,4.1,24
CM_16043_70,26,72,18,1.21,4.2,13
CM_16043_70,72,102,25,1.26,4.7,10
CM_16043_70,102,135,NA,NA,NA,NA
CM_16043_71,0,3,38,1.03,4,48
CM_16043_71,3,8,34,1.03,3.9,29
CM_16043_71,8,42,26,1.12,4.3,15
CM_16043_71,42,90,26,1.24,4.9,9
CM_16043_71,90,135,23,NA,4.9,6
CM_16043_71,135,195,18,NA,5.2,7
CM_16043_74,0,5,39,1.03,4.4,63
CM_16043_74,5,12,40,1.03,4.2,25
CM_16043_74,12,32,33,1.12,4.3,12
CM_16043_74,32,76,32,1.23,4.4,8
CM_16043_74,76,113,28,1.26,4.6,9
CM_16043_74,113,170,26,NA,5.2,6
CM_16043_76,0,7,36,1.03,4.6,57
CM_16043_76,7,16,35,1.03,4.2,44
CM_16043_76,16,42,26,1.21,4.4,14
CM_16043_76,42,80,26,1.26,4.8,6
CM_16043_76,80,250,28,NA,4.5,3
CM_16588_K3,0,12,79,NA,4.6,4.8
CM_16588_K3,12,36,68.8,NA,4.8,3.8
CM_16588_K3,36,104,66.9,NA,4.9,3.5
CM_16588_K3,104,180,67.2,NA,4.9,3.5
CM_16588_K3,180,220,66.9,NA,5.1,3.6
CM_16588_K3,220,250,67.4,NA,3.2,3.1
CM_16588_K6,0,10,88,NA,6,11.6
CM_16588_K6,10,17,80.4,NA,5.8,3.8
CM_16588_K6,17,32,73.4,NA,5.6,4.7
CM_16588_K6,32,88,70.1,NA,4.8,3.2
CM_16588_K6,88,175,58.6,NA,4.4,4
CM_16588_K6,175,300,64,NA,4.4,3.3
CM_16588_K6,300,325,65.7,NA,4.7,3.2
CM_16588_M4,0,8,85.3,NA,5.6,10.1
CM_16588_M4,8,28,70,NA,4.3,6.8
CM_16588_M4,28,68,67.6,NA,4.5,3.8
CM_16588_M4,68,100,66.3,NA,4.4,3.9
CM_16588_M4,100,200,63.8,NA,4.9,3.9
CM_16588_Mg2,0,14,44.3,NA,4.7,9.1
CM_16588_Mg2,14,33,43.8,NA,5.1,4.9
CM_16588_Mg2,33,75,29.6,NA,6.1,4
CM_16588_Mg2,75,110,22.3,NA,5.5,4.7
CM_16588_Mg2,110,270,NA,NA,NA,NA
CM_16588_Mg4,0,25,81.9,NA,5.6,4.1
CM_16588_Mg4,25,75,86.3,NA,5.6,2.9
CM_16588_Mg4,75,120,82.8,NA,5.6,2.6
CM_16588_Mg4,120,250,NA,NA,NA,NA
CM_16588_Mk1,0,7,53.5,NA,4.7,20.3
CM_16588_Mk1,7,21,45.5,NA,5.2,14.3
CM_16588_Mk1,21,37,40,NA,5,13.2
CM_16588_Mk1,37,64,46.8,NA,5,7.1
CM_16588_Mk1,64,97,57.9,NA,5,5.2
CM_16588_Mk1,97,125,57.4,NA,5.2,5.3
CM_16588_Mk1,125,260,NA,NA,NA,NA
CM_16588_Mk10,0,6,24.3,NA,4.5,49.9
CM_16588_Mk10,6,18,26.7,NA,4.5,10.3
CM_16588_Mk10,18,40,26.6,NA,4.6,6.1
CM_16588_Mk10,40,72,29,NA,4.6,6
CM_16588_Mk10,72,112,44.4,NA,4.6,4.1
CM_16588_Mk10,112,145,14.5,NA,4.8,4.3
CM_16588_Mk12,0,11,72.1,NA,5.2,16.9
CM_16588_Mk12,11,24,73.7,NA,5.1,8.2
CM_16588_Mk12,24,51,71.5,NA,5,6.4
CM_16588_Mk12,51,64,79.3,NA,5.2,4.4
CM_16588_Mk12,64,180,75.1,NA,5.3,4.3
CM_16588_Mk12,180,200,64.1,NA,5.3,2.7
CM_16588_Mk6,0,8,16.2,NA,5,31.2
CM_16588_Mk6,8,20,16.7,NA,5.2,18.9
CM_16588_Mk6,20,43,18.6,NA,5.4,9
CM_16588_Mk6,43,92,34.7,NA,5.9,6.6
CM_16588_Mk6,92,140,39.4,NA,5.9,5.4
CM_16588_Mk6,140,190,5.2,NA,5.5,9
CM_16588_Mk8,0,14,29.7,NA,5.2,25.3
CM_16588_Mk8,14,23,41.2,NA,4.8,12.2
CM_16588_Mk8,23,62,40.6,NA,4.6,9.1
CM_16588_Mk8,62,84,57.3,NA,4.6,4.8
CM_16588_Mk8,84,124,71,NA,4.8,4
CM_16588_Mk8,124,150,95.3,NA,4.6,2.1
CM_16588_T1_BM11,0,23,45,NA,6.6,43.5
CM_16588_T1_BM11,23,30,45,NA,6.8,34.3
CM_16588_T1_BM11,30,40,40,NA,6.4,22.8
CM_16588_T1_BM11,40,104,40,NA,6.8,14.7
CM_16588_T1_BM11,104,125,40,NA,6.8,6.1
CM_16588_T1_BM11,125,160,40,NA,6.4,5.6
CM_16588_T1_BM11,160,180,40,NA,6.4,4.1
CM_16588_T13,0,9,14.8,NA,6.2,37.8
CM_16588_T13,9,20,13.9,NA,5.8,18.2
CM_16588_T13,20,34,10.2,NA,5.4,10.2
CM_16588_T13,34,112,10,NA,5.2,6.5
CM_16588_T13,112,200,11.8,NA,5.2,4.6
CM_16588_T13,200,210,NA,NA,NA,NA
CM_16588_T15,0,10,44.9,NA,4.6,19.5
CM_16588_T15,10,25,37.2,NA,4.7,12.8
CM_16588_T15,25,85,32.8,NA,4.7,7.4
CM_16588_T15,85,150,35.7,NA,4.2,4.9
CM_16588_T15,150,195,33.7,NA,4.9,5.8
CM_16588_T15,195,220,54.9,NA,4.7,3.6
CM_16588_T5,0,13,45,NA,5.8,44
CM_16588_T5,13,32,45,NA,5.7,31.1
CM_16588_T5,32,105,40,NA,5.2,19.7
CM_16588_T5,105,180,40,NA,5.6,14.7
CM_16588_T5,180,240,40,NA,5.6,9.8
CM_16588_T7,0,7,6.8,NA,5.2,56.3
CM_16588_T7,7,19,5.1,NA,5.2,21.3
CM_16588_T7,19,53,5.1,NA,5.2,11.4
CM_16588_T7,53,83,7.7,NA,5.2,5.8
CM_16588_T7,83,128,5.4,NA,5,5.5
CM_16588_T7,128,180,5.5,NA,5.2,4.8
CM_16588_T7,180,250,5.9,NA,5.2,4.3
CM_16588_T9,0,6,17.3,NA,4.2,34.7
CM_16588_T9,6,17,10.8,NA,4.2,14
CM_16588_T9,17,80,9.8,NA,4.4,8.3
CM_16588_T9,90,150,7,NA,4.6,5.3
CM_16588_T9,150,220,7.5,NA,4.6,4.6
CM_16588_WC2,0,15,40,NA,5,31.2
CM_16588_WC2,15,25,40,NA,6,18.7
CM_16588_WC2,25,80,40,NA,5.8,11.6
CM_16588_WC2,80,125,40,NA,5.8,11.2
CM_16588_WC2,125,135,40,NA,NA,NA
CM_16588_WC7,0,16,40,NA,4.8,42.4
CM_16588_WC7,16,29,40,NA,5.4,32.4
CM_16588_WC7,29,60,40,NA,5.8,24.7
CM_16588_WC7,60,85,40,NA,5.9,22.5
CM_16588_WC7,85,100,NA,NA,NA,NA
CM_16588_WC9,0,8,NA,NA,5.1,84.4
CM_16588_WC9,8,18,NA,NA,5.5,44.9
CM_16588_WC9,18,29,NA,NA,6.4,19.8
CM_16588_WC9,29,36,NA,NA,6.4,12
CM_16588_WC9,36,81,NA,NA,6.6,4.6
CM_16588_WC9,81,95,45,NA,6.4,18.4
CM_16588_WC9,95,110,NA,NA,NA,NA
CM_1868_1,0,25,25,NA,5.3,41
CM_1868_1,25,84,10,NA,5.6,8
CM_1868_1,84,224,18,NA,5.4,NA
CM_1868_108,0,10,NA,NA,5.5,79
CM_1868_108,10,23,6,NA,5.3,51
CM_1868_108,23,46,4,NA,5.2,20
CM_1868_108,46,130,8,NA,5.2,16
CM_1868_116,0,6,22,NA,5.2,30
CM_1868_116,6,25,22,NA,5,18
CM_1868_116,25,127,13,NA,5,NA
CM_1868_127,0,10,NA,NA,5.4,121
CM_1868_127,10,20,NA,NA,5.4,103
CM_1868_127,20,43,NA,NA,5.6,74
CM_1868_127,43,109,39,NA,5.4,15
CM_1868_127,109,135,NA,NA,NA,NA
CM_1868_13,0,25,17,NA,5.4,24
CM_1868_13,25,51,14,NA,5.1,16
CM_1868_13,51,170,3,NA,5.2,NA
CM_1868_130,0,8,30,NA,4.7,19
CM_1868_130,8,15,34,NA,4.8,15
CM_1868_130,15,66,35,NA,5,NA
CM_1868_130,66,142,25,NA,5.2,NA
CM_1868_130,142,178,NA,NA,NA,NA
CM_1868_130,178,203,NA,NA,NA,NA
CM_1868_138,0,18,NA,NA,5.5,141
CM_1868_138,18,66,16,NA,5.4,41
CM_1868_138,66,114,25,NA,5.7,4
CM_1868_161,0,15,28,NA,5.3,105
CM_1868_161,15,33,26,NA,5.2,65
CM_1868_161,33,84,21,NA,5.1,NA
CM_1868_177,0,18,24,NA,5.4,84
CM_1868_177,18,28,21,NA,5.2,47
CM_1868_177,28,107,29,NA,5,NA
CM_1868_212,0,18,44,NA,5,28
CM_1868_212,18,43,55,NA,5,15
CM_1868_212,43,86,58,NA,4.9,NA
CM_1868_212,86,132,51,NA,4.7,NA
CM_1868_230,0,20,23,NA,4.6,67
CM_1868_230,20,48,11,NA,4.9,38
CM_1868_230,48,86,17,NA,5,NA
CM_1868_230,86,112,15,NA,5.1,NA
CM_1868_253,0,15,31,NA,5,36
CM_1868_253,15,74,30,NA,4.9,10
CM_1868_253,74,107,32,NA,5.1,NA
CM_1868_266,0,23,46,NA,5.8,47
CM_1868_266,23,81,41,NA,5.5,22
CM_1868_266,81,264,30,NA,5.5,NA
CM_1868_269,0,18,16,NA,5.7,47
CM_1868_269,18,38,15,NA,5.5,33
CM_1868_269,38,196,3,NA,5.3,NA
CM_1868_279,0,33,38,NA,5.7,56
CM_1868_279,33,81,38,NA,5.4,20
CM_1868_279,81,157,NA,NA,NA,NA
CM_1868_279,157,213,NA,NA,NA,NA
CM_1868_282,0,11,35,NA,6.1,17
CM_1868_282,11,76,15,NA,5.1,7
CM_1868_282,76,183,16,NA,NA,NA
CM_1868_289,0,8,NA,NA,NA,NA
CM_1868_289,8,20,13,NA,5.4,41
CM_1868_289,20,38,50,NA,5.4,23
CM_1868_289,38,191,26,NA,5.5,NA
CM_1868_291,0,20,1,NA,5.4,109.9
CM_1868_291,20,36,2,NA,4.8,22.4
CM_1868_291,36,89,7,NA,5.1,NA
CM_1868_291,89,191,15,NA,5.4,NA
CM_1868_30,0,8,29,NA,4.2,36
CM_1868_30,8,66,23,NA,4.4,9
CM_1868_30,66,102,21,NA,5,NA
CM_1868_310,0,8,62,NA,5.4,14.3
CM_1868_310,8,38,57,NA,5,7.3
CM_1868_310,38,71,50,NA,5,NA
CM_1868_310,71,132,NA,NA,NA,NA
CM_1868_313,0,13,11,NA,5.6,73.8
CM_1868_313,13,28,14,NA,5.1,32.8
CM_1868_313,28,46,14,NA,5.3,NA
CM_1868_313,46,147,NA,NA,NA,NA
CM_1868_314,0,56,13,NA,5.7,56
CM_1868_314,56,91,24,NA,6,9
CM_1868_314,91,127,26,NA,5.9,NA
CM_1868_315,0,18,6,NA,5.7,40.9
CM_1868_315,18,61,12,NA,5.3,18.9
CM_1868_315,61,86,NA,NA,NA,NA
CM_1868_316,0,23,2,NA,5.6,155.6
CM_1868_316,23,61,14,NA,5.4,98.7
CM_1868_316,61,91,NA,NA,NA,NA
CM_1868_319,0,15,41,NA,5.3,22.3
CM_1868_319,15,48,53,NA,4.8,10.8
CM_1868_319,48,89,48,NA,5,NA
CM_1868_319,89,152,NA,NA,NA,NA
CM_1868_376,0,18,42.3,NA,5.4,19.8
CM_1868_376,18,86,37.8,NA,5.5,7.4
CM_1868_376,86,135,NA,NA,NA,NA
CM_1868_379,0,8,68.8,NA,5.8,25.7
CM_1868_379,8,61,53.7,NA,5.4,4.5
CM_1868_379,61,84,NA,NA,NA,NA
CM_1868_383,0,10,87.7,NA,5.9,11.7
CM_1868_383,10,53,79.6,NA,5.3,4.8
CM_1868_383,53,124,70,NA,5.1,3.5
CM_1868_385,0,8,66.2,NA,5.2,22
CM_1868_385,8,43,50.2,NA,5.4,6.6
CM_1868_385,43,112,37.2,NA,5.7,3.1
CM_1868_385,112,137,NA,NA,NA,NA
CM_1868_388,0,4,34.3,NA,NA,NA
CM_1868_388,4,51,54.9,NA,NA,NA
CM_1868_388,51,124,NA,NA,NA,NA
CM_1868_391,0,15,76.3,NA,NA,66.8
CM_1868_391,15,41,77.7,NA,NA,37
CM_1868_391,41,152,87.2,NA,NA,29.4
CM_1868_391,152,208,NA,NA,NA,NA
CM_1868_398,0,18,76.7,NA,5,14.4
CM_1868_398,18,25,81.5,NA,4.6,2.5
CM_1868_398,25,71,75.9,NA,5.3,2.3
CM_1868_398,71,104,NA,NA,NA,NA
CM_1868_398,104,147,NA,NA,NA,NA
CM_1868_398,147,254,NA,NA,NA,NA
CM_1868_400,0,15,44.7,NA,5.1,45
CM_1868_400,15,69,40.2,NA,5,14.4
CM_1868_400,69,104,42.4,NA,5.1,6.8
CM_1868_400,104,251,NA,NA,NA,NA
CM_1868_407,0,8,81.5,NA,5.6,15.6
CM_1868_407,8,25,71.4,NA,4.8,5.8
CM_1868_407,25,193,NA,NA,NA,NA
CM_1868_407,193,213,NA,NA,NA,NA
CM_1868_41,0,18,7,NA,4.7,38
CM_1868_41,18,61,10,NA,4.9,13
CM_1868_41,66,122,2,NA,4.9,NA
CM_1868_41,122,147,1,NA,5.1,NA
CM_1868_410,0,15,33,NA,6.4,35.5
CM_1868_410,15,71,21.2,NA,5.7,12
CM_1868_418,0,15,24.3,NA,6.3,29.8
CM_1868_418,15,124,12.1,NA,5.3,6.2
CM_1868_418,124,188,NA,NA,NA,NA
CM_1868_42,0,20,75,NA,5.3,9
CM_1868_42,20,28,72,NA,5.2,5
CM_1868_42,30,51,47,NA,5,NA
CM_1868_42,56,127,36,NA,5.2,NA
CM_1868_422,0,6,33.2,NA,6.1,28.6
CM_1868_422,6,117,22.5,NA,5.6,7
CM_1868_422,117,193,NA,NA,NA,NA
CM_1868_425,0,5,38.5,NA,NA,42.3
CM_1868_425,5,46,29.9,NA,NA,11.3
CM_1868_425,46,91,NA,NA,NA,NA
CM_1868_426,0,11,85.2,NA,NA,14.8
CM_1868_426,11,102,59.3,NA,NA,3.7
CM_1868_426,102,196,NA,NA,NA,NA
CM_1868_432,0,4,70.5,NA,NA,25.3
CM_1868_432,4,127,59.2,NA,NA,6.8
CM_1868_432,127,178,NA,NA,NA,NA
CM_1868_447,0,15,40.8,NA,6.3,29.2
CM_1868_447,15,36,43.2,NA,6.2,8.9
CM_1868_447,36,107,36.2,NA,5.6,5
CM_1868_453,0,20,29.2,NA,5.4,20.2
CM_1868_453,20,46,28.8,NA,5.3,6
CM_1868_453,46,127,NA,NA,NA,NA
CM_1868_454,0,13,53.7,NA,5.6,19.8
CM_1868_454,13,41,54.7,NA,5,6.4
CM_1868_454,41,64,NA,NA,NA,NA
CM_1868_454,64,183,NA,NA,NA,NA
CM_1868_464,0,13,69.7,NA,5,14.8
CM_1868_464,13,48,61.7,NA,5,5.4
CM_1868_464,48,122,22.5,NA,NA,4.7
CM_1868_465,0,23,41.3,NA,5.8,47.5
CM_1868_465,23,51,71.8,NA,6.1,18.7
CM_1868_465,51,140,NA,NA,NA,NA
CM_1868_6,0,10,56,NA,5.5,19
CM_1868_6,25,38,61,NA,5,7
CM_1868_6,38,122,41,NA,4.9,NA
CM_1868_66,0,10,30,NA,5.3,26
CM_1868_66,10,41,27,NA,4.7,11
CM_1868_66,41,193,22,NA,4.7,NA
CM_1868_70,0,15,55,NA,5.2,18
CM_1868_70,15,33,42,NA,4.9,10
CM_1868_70,33,53,39,NA,5.2,NA
CM_1868_70,53,94,65,NA,5.5,NA
CM_1868_70,94,150,42,NA,5.6,NA
CM_1868_88,0,10,5,NA,5.4,38
CM_1868_88,10,99,3,NA,5.2,16
CM_1868_88,99,160,20,NA,5.2,NA
CM_1868_97,0,8,22,NA,5.4,33
CM_1868_97,8,30,21,NA,4.9,15
CM_1868_97,30,91,11,NA,4.7,NA
CM_1868_97,91,152,9,NA,5,NA
CM_26998_8_10,0,10,70.7,NA,6.8,5.5
CM_26998_8_10,10,35,70,1.5,6,3.6
CM_26998_8_10,35,63,59,1.59,6.2,2
CM_26998_8_10,63,100,54.4,1.6,6.2,2.2
CM_26998_8_10,100,131,43.8,1.53,7.7,2.4
CM_26998_8_10,131,170,44.3,1.54,8,1.2
CM_26998_8_10,170,215,43.8,1.53,8,2.3
CM_26998_8_11,0,20,15.4,1.5,5.7,6.7
CM_26998_8_11,20,57,14.3,1.52,6.1,5.2
CM_26998_8_11,57,97,13.4,1.48,6.6,4.7
CM_26998_8_11,97,147,11.3,1.47,7.5,3.5
CM_26998_8_11,147,187,19.2,1.54,7.7,2.2
CM_26998_8_11,187,216,17.7,1.53,7.4,1
CM_26998_8_11,216,260,15.8,NA,7.1,0.8
CM_26998_8_11,260,280,63.4,NA,7,0.8
CM_26998_8_14,0,4,83,NA,8.9,2.58
CM_26998_8_14,4,15,76,NA,9.9,1.51
CM_26998_8_14,15,36,76,NA,10.3,0.6
CM_26998_8_14,36,80,81,NA,9.9,0.4
CM_26998_8_2,0,28,46.5,NA,5.1,23.5
CM_26998_8_2,28,50,39.6,NA,5.2,22.6
CM_26998_8_2,50,95,36.6,NA,5.2,10.9
CM_26998_8_2,95,150,37.3,NA,5.4,8.5
CM_26998_8_2,150,200,33.1,NA,5.5,7
CM_26998_8_3,0,35,39.6,NA,5.5,55.2
CM_26998_8_3,35,45,NA,NA,NA,NA
CM_26998_8_3,45,75,37.4,NA,5.6,18.8
CM_26998_8_3,75,120,34,NA,5.7,12.3
CM_26998_8_3,120,200,36.3,NA,5.5,8
CM_26998_8_4,0,11,3.6,NA,5.6,27.9
CM_26998_8_4,11,25,3.1,NA,5.4,16.1
CM_26998_8_4,25,46,1.4,NA,5.5,9.8
CM_26998_8_4,46,82,1.7,NA,5.8,7.6
CM_26998_8_4,82,100,1.4,NA,5.6,5.9
CM_26998_8_4,100,135,1.2,NA,5.6,5.3
CM_26998_8_4,135,200,11,NA,5.6,3.1
CM_26998_8_6,0,20,NA,NA,4.4,215.6
CM_26998_8_6,20,40,NA,NA,4.4,201.7
CM_26998_8_6,40,125,NA,NA,NA,NA
CM_26998_8_7,0,12,NA,NA,4.9,101
CM_26998_8_7,12,23,NA,NA,5.2,73
CM_26998_8_7,23,41,NA,NA,5.3,67
CM_26998_8_7,41,84,NA,NA,5.5,31
CM_26998_8_7,84,110,NA,NA,5.5,29
CM_26998_8_8,0,10,32.5,NA,4.9,61
CM_26998_8_8,10,40,32.8,NA,4.8,27.4
CM_26998_8_8,40,64,26.4,NA,4.8,17
CM_26998_8_8,65,105,20.1,NA,4.7,14.6
CM_26998_8_8,105,150,39.6,NA,4.4,5
CM_26998_8_8,150,205,36.3,NA,4.5,4.4
CM_26998_8_9,0,5,50.5,NA,5.3,56.7
CM_26998_8_9,5,25,73.5,NA,4.9,27.1
CM_26998_8_9,25,55,63.4,NA,5,15.5
CM_26998_8_9,55,90,64.1,NA,5,12.4
CM_26998_8_9,90,155,75.6,NA,5.1,3.5
CM_29749_001,0,15,45.3,NA,6.1,14.21
CM_29749_001,15,30,38.3,NA,7.1,7.3
CM_29749_001,30,60,33.8,NA,7.1,4.02
CM_29749_001,60,90,34.2,NA,6.8,2.76
CM_29749_002,0,15,53.2,NA,5.8,21.79
CM_29749_002,15,30,53.9,NA,6.9,9.75
CM_29749_002,30,60,47.7,NA,6.9,4.3
CM_29749_002,60,90,36.3,NA,6.9,2.89
CM_29749_003,0,15,44.8,NA,5.6,16.86
CM_29749_003,15,30,35.9,NA,5.1,5.78
CM_29749_003,30,60,34,NA,5,5.49
CM_29749_003,60,90,30,NA,5.1,5.11
CM_29749_004,0,15,51,NA,4.6,8.47
CM_29749_004,15,30,37.7,NA,4.7,4.89
CM_29749_004,30,60,35.3,NA,4.9,4.36
CM_29749_004,60,90,38.7,NA,4.8,4.02
CM_29749_005,0,15,61.7,NA,4.8,15.58
CM_29749_005,15,30,49.6,NA,4.7,3.47
CM_29749_005,30,60,46.6,NA,4.9,2.73
CM_29749_005,60,90,45,NA,4.9,2.52
CM_29749_006,0,15,49.7,NA,4.8,9.04
CM_29749_006,15,30,42.7,NA,5,6.19
CM_29749_006,30,60,38.7,NA,5.1,4.67
CM_29749_007,0,15,69.7,NA,4.8,13.49
CM_29749_007,15,30,55.7,NA,4.9,4.2
CM_29749_007,30,60,42.4,NA,4.7,4.36
CM_29749_007,60,90,37.4,NA,4.7,3.49
CM_29749_008,0,15,51.4,NA,4.7,14.53
CM_29749_008,15,30,45.9,NA,4.8,6.62
CM_29749_008,30,60,35.4,NA,5.1,3.8
CM_29749_008,60,90,32.5,NA,5.2,3.86
CM_29749_009,0,15,61.5,NA,6.2,12.17
CM_29749_009,15,30,57.8,NA,5.8,4.04
CM_29749_009,30,60,42.8,NA,5.8,3.26
CM_29749_009,60,90,35.3,NA,5.8,2.8
CM_29749_010,0,15,57.8,NA,4.4,8.39
CM_29749_010,15,30,47.8,NA,4.6,4.43
CM_29749_010,30,60,41.8,NA,4.6,3.82
CM_29749_010,60,90,37.8,NA,4.5,3.9
CM_29749_011,0,15,56.3,NA,5.3,9.97
CM_29749_011,15,30,42.8,NA,4.9,5.57
CM_29749_011,30,60,30.3,NA,4.9,4.38
CM_29749_011,60,90,28.1,NA,4.9,3.23
CM_29749_012,0,15,54.8,NA,4.9,11.69
